/*
 *
 *  Dados fornecidos pela Iplam (Instituto de pesquisa e planejamento urbano)
 *  da cidade de Ponta Grossa Paraná Brasil.
 *
 */
wkt_geom,id,LOGRADOURO,LOTEAMENTO,BAIRRO,KM,TIPO_EQUI,COOR X,COOR Y
Point (-50.15510763908844183 -25.12449821339699341),,Avenida Visconde de Maua,Oficinas Taques,Oficinas,,Semafaro,-501551076391,-251244982134
Point (-50.15727714091199374 -25.12504038596285838),,Rua Franco Grilo,Emilio Wagner,Oficinas,,Semafaro,-501572771409,-25125040386
Point (-50.20134679359711072 -25.09852222154756518),,Rua Nicolau Kluppel Neto,,Contorno,,Semafaro,-502013467936,-250985222215
Point (-50.16866715767633167 -25.0828512541260551),,Avenida Anita Garibaldi,,Orfas,,Semafaro,-501686671577,-250828512541
Point (-50.17719294003428843 -25.07879381151752085),,Rua Visconde de Sinimbu,Madureira,Nova Russia,,Semafaro,-5017719294,-250787938115
Point (-50.15395590112940738 -25.07586368815130839),,Avenida Monteiro Lobato,Carvalho I,Jardim Carvalho,,Semafaro,-501539559011,-250758636882
Point (-50.152795284306535 -25.074304586627715),,Avenida Monteiro Lobato,Carvalho I,Jardim Carvalho,,Semafaro,-501527952843,-250743045866
Point (-50.15403517880064044 -25.06928309529546084),,Avenida Ernani Batista Rosas,Baronesa,Jardim Carvalho,,Semafaro,-501540351788,-250692830953
Point (-50.14309240966467485 -25.08834051613184712),,Rua Cassemiro de Abreu,Ana Rita,Uvaranas,,Semafaro,-501430924097,-250883405161
Point (-50.13277906238322146 -25.07692760159095968),,Rua Afonso Celso,Trinta e um de Março,Neves,,Semafaro,-501327790624,-250769276016
Point (-50.16054210906109745 -25.09109648639235957),,Rua Theodoro Rosas,Centro,Centro,,Faixa Elevada,-501605421091,-250910964864
Point (-50.16113372090079991 -25.08627126293038145),,Rua Penteado de Almeida,Centro,Centro,,Faixa Elevada,-501611337209,-250862712629
Point (-50.1557278465257852 -25.11391968570484323),,Avenida Viconde de Mauá,Eleutério,Oficinas,,Faixa Elevada,-501557278465,-251139196857
Point (-50.17563075371835879 -25.07401007166042106),,Rua Francisco Otviano,Palmeirinha,Nova Russia,,Faixa Elevada,-501756307537,-250740100717
Point (-50.20188543616440313 -25.10216323056093302),,Rua Nicolau de Kluppel Neto,Santa Paula,Contorno,,Faixa Elevada,-502018854362,-251021632306
Point (-50.1646520314261295 -25.10944073085711992),,Rua Padre Nobrega,Dona Ida,Estrela,,Rotatoria,-501646520314,-251094407309
Point (-50.13649368108317361 -25.08580300808323926),,Avenida Dom Geraldo de Pellanda,Ana Rita,Uvaranas,,Rotatoria,-501364936811,-250858030081
Point (-50.20101325432668204 -25.1166963244275756),,Rua Margarida,Santa Terezinha,Contorno,40,Controlador de Velocidade,-502010132543,-251166963244
Point (-50.16317364596693551 -25.09805293709204932),,Rua Visconde de Nacar,,Centro,40,Controlador de Velocidade,-50163173646,-250980529371
